Description,Location,Price (PHP),Bedrooms,Floor_area (sqm),Land_area (sqm),Link
Brand New Single Attached House and Lot for Sale in Pilar Village Las Pinas City,"Pilar, Las Pinas","6,528,000",3,126,94,https://www.lamudi.com.ph/brand-new-single-attached-house-and-lot-for-sale-in-pilar-village-las-pinas-city-56.html
Impressive House and lot for sale in Tandang Sora near Mindanao Avenue Q.C,"Tandang Sora, Quezon City","19,000,000",3,250,177,https://www.lamudi.com.ph/impressive-house-and-lot-for-sale-in-tandang-sora-near-mindanao-avenue-q-c.html
2 storey brand new modern design townhouse in las pinas near cavitex/coastal rd,"Pulang Lupa Dos, Las Pinas","4,000,000",2,67,52,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-in-las-pinas-near-cavitex-coastal-rd-57.html
Brand New Modern Design Townhouse in Las Pinas near Perpetual Help,"Pamplona Dos, Las Pinas","5,750,000",3,86,77,https://www.lamudi.com.ph/brand-new-modern-design-townhouse-in-las-pinas-near-perpetual-help-357.html
"Modern Nice Location Elegant House and Lot For Sale in BF Homes, Paranaque","B.F. Homes, Paranaque","19,800,000",3,295,204,https://www.lamudi.com.ph/modern-nice-location-elegant-house-and-lot-for-sale-in-bf-homes-paranaque-115.html
Brand New Modern Design House and Lot in BF Resort Village Las Pinas,"Talon Dos, Las Pinas","8,000,000",3,145,101,https://www.lamudi.com.ph/brand-new-modern-design-house-and-lot-in-bf-resort-village-las-pinas-174.html
Modern Nice Location Elegant House and Lot For Sale in Bf Homes Paranaque,"B.F. Homes, Paranaque","19,800,000",3,295,204,https://www.lamudi.com.ph/modern-nice-location-elegant-house-and-lot-for-sale-in-bf-homes-paranaque-113.html
Townhouse for Sale in Paranaque Brandnew Affordable at 4.1M-MD,"Don Bosco, Paranaque","4,100,000",2,75,49,https://www.lamudi.com.ph/townhouse-for-sale-in-paranaque-brandnew-affordable-at-4-1m-md.html
"Brand New Modern House For Sale (CODE:HL987) in Merville, Paranaque","Merville, Paranaque","35,000,000",4,280,530,https://www.lamudi.com.ph/brand-new-modern-house-for-sale-code-hl987-in-merville-paranaque.html
"For Sale: Ayala Alabang Village, 4br H&L With Pool, Php 80m","Ayala Alabang, Muntinlupa","80,000,000",4,360,450,https://www.lamudi.com.ph/for-sale-ayala-alabang-village-4br-h-l-with-pool-php-80m.html
4.280M Brand New House & Lot West Fairview Subd Q.C. Philhomes - Gio Matias,"Fairview, Quezon City","4,280,000",3,87,52,https://www.lamudi.com.ph/4-280m-brand-new-house-lot-west-fairview-subd-q-c-philhomes-gio-matias-3.html
House and Lot for sale in Commonwealth Quezon City,"Commonwealth, Quezon City","16,902,930",4,243,179,https://www.lamudi.com.ph/house-and-lot-for-sale-in-commonwealth-quezon-city-31.html
Brand New 5 Bedrooms Modern Design Single Attached House and Lot in Bf Resort,"Talon Dos, Las Pinas","21,500,000",5,382,192,https://www.lamudi.com.ph/brand-new-5-bedrooms-modern-design-single-attached-house-and-lot-in-bf-resort-345.html
For sale Tandang Sora near Congressional Katipunan Townhouse in Quezon City,"Katipunan, Quezon City","10,800,000",5,187,80,https://www.lamudi.com.ph/for-sale-tandang-sora-near-congressional-katipunan-townhouse-in-quezon-city.html
Modern 5BR Townhouse for sale in Project 4 Cubao Quezon City nr Katipunan,"Diliman, Quezon City","15,800,000",4,173,67,https://www.lamudi.com.ph/modern-5br-townhouse-for-sale-in-project-4-cubao-quezon-city-nr-katipunan.html
New Manila Townhouse for Resale 5BR with 3 Parking,"New Manila, Quezon City","21,700,000",5,250,117,https://www.lamudi.com.ph/new-manila-townhouse-for-resale-5br-with-3-parking.html
For Sale Modern 2 Storey Single Detached house near in Villar Sipag Las Pinas,"Manuyo Dos, Las Pinas","19,000,000",4,210,200,https://www.lamudi.com.ph/for-sale-modern-2-storey-single-detached-house-near-in-villar-sipag-las-pinas-69.html
Townhouse for sale in Tandang Sora nr Congressional Commonwealth Quezon City,"Tandang Sora, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/townhouse-for-sale-in-tandang-sora-nr-congressional-commonwealth-quezon-city.html
"Blissful Modern Brand New Townhouse for sale in  Tandang Sora, Quezon City","Culiat, Quezon City","11,200,000",5,187,78,https://www.lamudi.com.ph/blissful-modern-brand-new-townhouse-for-sale-in-tandang-sora-quezon-city-11.html
3 Storey Brand New Modern Design Townhouse House in Tandang Sora Quezon City,"Tandang Sora, Quezon City","8,500,000",4,135,45,https://www.lamudi.com.ph/3-storey-brand-new-modern-design-townhouse-house-in-tandang-sora-quezon-city-5.html
5BR 3 Storey Townhouse for sale in Tandang Sora near Commonwealth Quezon City,"Culiat, Quezon City","11,500,000",5,187,78,https://www.lamudi.com.ph/5br-3-storey-townhouse-for-sale-in-tandang-sora-near-commonwealth-quezon-city.html
Newly Built 2 Storey Brand New Modern Design Townhouse In Dona Manuela Las Pinas,"Manuyo Dos, Las Pinas","4,200,000",2,67,54,https://www.lamudi.com.ph/newly-built-2-storey-brand-new-modern-design-townhouse-in-dona-manuela-las-pinas-32.html
2 storey brand new modern design townhouse in las pinas near cavitex/coastal rd,"Pamplona Tres, Las Pinas","4,000,000",2,67,52,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-in-las-pinas-near-cavitex-coastal-rd-53.html
Brand New spacious 6 bedrooms modern elegant single detached house and lot,"Talon Dos, Las Pinas","17,500,000",6,350,179,https://www.lamudi.com.ph/brand-new-spacious-6-bedrooms-modern-elegant-single-detached-house-and-lot.html
Modern Design Townhouse in Don Antonio Heights Commonwealth Quezon City For 6.9M,"Holy Spirit, Quezon City","6,965,000",3,116,44,https://www.lamudi.com.ph/modern-design-townhouse-in-don-antonio-heights-commonwealth-quezon-city-for-6-9m.html
2 Car Garage Townhouse for sale in Tandang Sora Quezon City Mindanao Avenue,"Tandang Sora, Quezon City","7,400,000",3,117,60,https://www.lamudi.com.ph/2-car-garage-townhouse-for-sale-in-tandang-sora-quezon-city-mindanao-avenue.html
Townhouse for Sale in Paranaque Brandnew Affordable at 4.1M-MD,"Don Bosco, Paranaque","4,100,000",2,75,49,https://www.lamudi.com.ph/townhouse-for-sale-in-paranaque-brandnew-affordable-at-4-1m-md.html
"For Sale: Ayala Alabang Village, 4br H&L With Pool, Php 80m","Ayala Alabang, Muntinlupa","80,000,000",4,360,450,https://www.lamudi.com.ph/for-sale-ayala-alabang-village-4br-h-l-with-pool-php-80m.html
"Brand New Modern House For Sale (CODE:HL987) in Merville, Paranaque","Merville, Paranaque","35,000,000",4,280,530,https://www.lamudi.com.ph/brand-new-modern-house-for-sale-code-hl987-in-merville-paranaque.html
brand new 2 storey duplex house and lot in angela village las pinas city. jr,"Talon Kuatro, Las Pinas","6,500,000",4,110,77,https://www.lamudi.com.ph/brand-new-2-storey-duplex-house-and-lot-in-angela-village-las-pinas-city-jr-5.html
Brand New spacious 6 bedrooms modern elegant single detached house and lot,"Talon Dos, Las Pinas","17,500,000",6,350,179,https://www.lamudi.com.ph/brand-new-spacious-6-bedrooms-modern-elegant-single-detached-house-and-lot.html
2 storey brand new modern design townhouse in las pinas near cavitex/coastal rd,"Pamplona Tres, Las Pinas","4,000,000",2,67,52,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-in-las-pinas-near-cavitex-coastal-rd-53.html
Newly Built 2 Storey Brand New Modern Design Townhouse In Dona Manuela Las Pinas,"Manuyo Dos, Las Pinas","4,200,000",2,67,54,https://www.lamudi.com.ph/newly-built-2-storey-brand-new-modern-design-townhouse-in-dona-manuela-las-pinas-32.html
Harmony Brand New House & Lot West Fairview Q.C. Philhomes - Gio Matias,"Fairview, Quezon City","4,380,000",3,76,53,https://www.lamudi.com.ph/harmony-brand-new-house-lot-west-fairview-q-c-philhomes-gio-matias.html
"2 Storey House and Lot for Sale at West Fairview,Quezon City-Richard Aquino","Fairview, Quezon City","4,920,000",3,97,69,https://www.lamudi.com.ph/2-storey-house-and-lot-for-sale-at-west-fairview-quezon-city-richard-aquino-12.html
Newly Built House and Lot for Sale in BF Homes Las Pinas,"B.F. Homes, Paranaque","27,500,000",4,368,282,https://www.lamudi.com.ph/newly-built-house-and-lot-for-sale-in-bf-homes-las-pinas-1.html
Fully Renovated Bugalow House and Lot For Sale in BF Homes Paranaque City,"B.F. Homes, Paranaque","40,000,000",4,612,500,https://www.lamudi.com.ph/fully-renovated-bugalow-house-and-lot-for-sale-in-bf-homes-paranaque-city-4.html
Modern Townhouse w/ 4 BR in Tandang Sora Near Commonwealth PH1088 A,"Tandang Sora, Quezon City","10,494,000",4,174,58,https://www.lamudi.com.ph/modern-townhouse-w-4-br-in-tandang-sora-near-commonwealth-ph1088-a-3.html
3 Storey Townhouse for sale in Tandang Sora near Katipunan Quezon City,"Katipunan, Quezon City","11,500,000",5,187,78,https://www.lamudi.com.ph/3-storey-townhouse-for-sale-in-tandang-sora-near-katipunan-quezon-city-10.html
Townhouse for sale in Congressional Quezon City House and lot fa216 la81,"Congressional Avenue, Quezon City","14,800,000",3,216,81,https://www.lamudi.com.ph/townhouse-for-sale-in-congressional-quezon-city-house-and-lot-fa216-la81.html
BRAND NEW MODERN DESIGN SINGLE HOUSE IN SIHANOUK VILLAGE LAS PINAS CITY-RD,"Talon Kuatro, Las Pinas","6,800,000",3,93,101,https://www.lamudi.com.ph/brand-new-modern-design-single-house-in-sihanouk-village-las-pinas-city-rd-4.html
"Captivating 3 storey brand new house and lot in Filinvest heights, Batasan hills","Bagong Silangan, Quezon City","23,800,000",5,361,180,https://www.lamudi.com.ph/captivating-3-storey-brand-new-house-and-lot-in-filinvest-heights-batasan-hills-23.html
3 Storey House and Lot for sale in Filinvest 2 Batasan Hills Quezon City,"Batasan Hills, Quezon City","23,000,000",4,331,192,https://www.lamudi.com.ph/3-storey-house-and-lot-for-sale-in-filinvest-2-batasan-hills-quezon-city-31.html
Townhouse for sale in Quezon City 5 Bedrooms 4 Toilet and Bath 1 Car Garage,"Tandang Sora, Quezon City","9,500,000",5,180,60,https://www.lamudi.com.ph/townhouse-for-sale-in-quezon-city-5-bedrooms-4-toilet-and-bath-1-car-garage.html
Newly build spacious single attached house and lot for sale in almanzados,"Almanza Dos, Las Pinas","17,500,000",5,250,200,https://www.lamudi.com.ph/newly-build-spacious-single-attached-house-and-lot-for-sale-in-almanzados.html
2-storey modern design townhouse for sale in pamplona dos las pinas city,"Pamplona Dos, Las Pinas","5,800,000",3,80,77,https://www.lamudi.com.ph/2-storey-modern-design-townhouse-for-sale-in-pamplona-dos-las-pinas-city-1.html
"Elegant Duplex House and Lot for Sale in BF Resort Village, Las Pinas City","Talon Dos, Las Pinas","11,300,000",3,177,137,https://www.lamudi.com.ph/elegant-duplex-house-and-lot-for-sale-in-bf-resort-village-las-pinas-city.html
For Sale Brand new 2 Storey Townhouse in Katarungan Muntinlupa City,"Poblacion, Muntinlupa","5,450,000",2,73,52,https://www.lamudi.com.ph/for-sale-brand-new-2-storey-townhouse-in-katarungan-muntinlupa-city-23.html
Huge home Newly Renovated house and lot for sale in BF Homes Paranaque,"B.F. Homes, Paranaque","25,000,000",4,350,272,https://www.lamudi.com.ph/huge-home-newly-renovated-house-and-lot-for-sale-in-bf-homes-paranaque-5.html
Fully Renovated Bugalow House and Lot For Sale in BF Homes Paranaque City,"B.F. Homes, Paranaque","40,000,000",4,500,612,https://www.lamudi.com.ph/fully-renovated-bugalow-house-and-lot-for-sale-in-bf-homes-paranaque-city-3.html
Elegantly Finished Single Detached House In Las Pinas Near Sm Southmall,"Almanza Dos, Las Pinas","17,500,000",5,250,200,https://www.lamudi.com.ph/elegantly-finished-single-detached-house-in-las-pinas-near-sm-southmall-139.html
4 Bedrooms Brand New Spacious Duplex House In Bf Resort Village Las Pinas,"Talon Dos, Las Pinas","9,500,000",3,170,112,https://www.lamudi.com.ph/4-bedrooms-brand-new-spacious-duplex-house-in-bf-resort-village-las-pinas-276.html
3 Storey Brand Triplex House and Lot in Bf Resort Village,"Talon Dos, Las Pinas","9,500,000",4,153,73,https://www.lamudi.com.ph/3-storey-brand-triplex-house-and-lot-in-bf-resort-village-102.html
"Commercial Residential Townhouse for sale in Cubao, Quezon City Brand New","Cubao, Quezon City","14,500,000",4,160,63,https://www.lamudi.com.ph/commercial-residential-townhouse-for-sale-in-cubao-quezon-city-brand-new.html
4 Bedrooms Brand New Spacious Duplex House in BF Resort Village Las Pinas,"Talon Dos, Las Pinas","9,500,000",3,170,112,https://www.lamudi.com.ph/4-bedrooms-brand-new-spacious-duplex-house-in-bf-resort-village-las-pinas-290.html
"Modern 4 Bedrooms Duplex For Sale In BF Resort Village, Las Pinas","Talon Dos, Las Pinas","9,500,000",4,130,102,https://www.lamudi.com.ph/modern-4-bedrooms-duplex-for-sale-in-bf-resort-village-las-pinas.html
2 Storey Brand New Modern Design Townhouse in Pilar Village Las Pinas,"Pilar, Las Pinas","9,680,000",3,110,80,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-in-pilar-village-las-pinas-141.html
brand new 5 bedrooms modern design single attached house and lot,"Talon Dos, Las Pinas","21,000,000",5,382,192,https://www.lamudi.com.ph/brand-new-5-bedrooms-modern-design-single-attached-house-and-lot-17.html
newly built spacious modern design duplex in bf resort village las pinas,"Talon Dos, Las Pinas","9,800,000",3,180,102,https://www.lamudi.com.ph/newly-built-spacious-modern-design-duplex-in-bf-resort-village-las-pinas-2.html
"Union Village, Culiat, Tandang Sora 5Br townhouse in Quezon City for sale","Culiat, Quezon City","11,500,000",5,185,78,https://www.lamudi.com.ph/union-village-culiat-tandang-sora-5br-townhouse-in-quezon-city-for-sale.html
"Brand New Duplex House and Lot For Sale near SM Southmall, Las Pinas City","Pilar, Las Pinas","13,900,000",4,350,140,https://www.lamudi.com.ph/brand-new-duplex-house-and-lot-for-sale-near-sm-southmall-las-pinas-city-29.html
For Sale Semi-Furnished Elegant Single Detached House in BF Resort Las Pinas,"Talon Dos, Las Pinas","27,000,000",6,370,263,https://www.lamudi.com.ph/for-sale-semi-furnished-elegant-single-detached-house-in-bf-resort-las-pinas-7.html
Impressive House and lot for sale in Tandang Sora near Mindanao Avenue Q.C,"Tandang Sora, Quezon City","19,000,000",3,250,177,https://www.lamudi.com.ph/impressive-house-and-lot-for-sale-in-tandang-sora-near-mindanao-avenue-q-c-1.html
2 Storey Brand New Modern Design Corner Town House In Las Pinas Near Cavitex,"Pamplona Dos, Las Pinas","10,950,000",3,114,124,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-corner-town-house-in-las-pinas-near-cavitex-6.html
"House for Sale in Philam Homes, Quezon City","Phil-Am, Quezon City","85,000,000",3,350,454,https://www.lamudi.com.ph/house-for-sale-in-philam-homes-quezon-city.html
Single Attached House and Lot for sale in West Fairview Q.C with 3 BR PH2371,"Fairview, Quezon City","5,200,000",3,90,79,https://www.lamudi.com.ph/single-attached-house-and-lot-for-sale-in-west-fairview-q-c-with-3-br-ph2371.html
3-Storey Minimalist yet Modern Design Townhouse For Sale in Tandang Sora,"Tandang Sora, Quezon City","12,700,000",4,200,76,https://www.lamudi.com.ph/3-storey-minimalist-yet-modern-design-townhouse-for-sale-in-tandang-sora.html
"MSG-20-0007: Foreclosed Residential - House and Lot for Sale at Quezon City, Metro Ma...","Novaliches, Quezon City","3,502,000",no info,178,120,https://www.lamudi.com.ph/msg-20-0007-foreclosed-residential-house-and-lot-for-sale-at-quezon-city-metro-manila.html
"MSG-20-0009: Foreclosed Residential Bldg. for Sale at Quezon City, Metro Manila","Novaliches, Quezon City","4,510,000",no info,no info,122,https://www.lamudi.com.ph/msg-20-0009-foreclosed-residential-bldg-for-sale-at-quezon-city-metro-manila.html
"MSG-21-0047: Foreclosed House & Lot for Sale in Camarin, Caloocan","Camarin, Caloocan","6,960,000",no info,236,187,https://www.lamudi.com.ph/msg-21-0047-foreclosed-house-lot-for-sale-in-camarin-caloocan.html
For Sale Pre-owned 2 Storey Single Attached House in Pilar Village Las Pinas,"Pilar, Las Pinas","6,897,000",3,126,120,https://www.lamudi.com.ph/for-sale-pre-owned-2-storey-single-attached-house-in-pilar-village-las-pinas-28.html
Modern Elegant Design House and Lot For Sale in Bf Homes Paranaque,"B.F. Homes, Paranaque","20,000,000",4,370,280,https://www.lamudi.com.ph/modern-elegant-design-house-and-lot-for-sale-in-bf-homes-paranaque-113.html
Modern Nice Location Elegant House And Lot For Sale In Bf Homes Paranaque,"B.F. Homes, Paranaque","22,000,000",3,295,204,https://www.lamudi.com.ph/modern-nice-location-elegant-house-and-lot-for-sale-in-bf-homes-paranaque-118.html
"Airy Spacious Brand New Modern Townhouse For Sale In Tandang Sora, Quezon City","Tandang Sora, Quezon City","16,500,000",5,278,107,https://www.lamudi.com.ph/airy-spacious-brand-new-modern-townhouse-for-sale-in-tandang-sora-quezon-city-1.html
Airy Spacious Brand new modern TOWNhouse and lot for sale in DON ANTONIO HEIGHTS,"Holy Spirit, Quezon City","15,000,000",4,280,133,https://www.lamudi.com.ph/airy-spacious-brand-new-modern-townhouse-and-lot-for-sale-in-don-antonio-heights-55.html
Elegantly Finished Single Detached House in Las Pinas near SM Southmall,"Almanza Dos, Las Pinas","17,500,000",5,250,200,https://www.lamudi.com.ph/elegantly-finished-single-detached-house-in-las-pinas-near-sm-southmall-127.html
"3 Storey Townhouse for sale in Tandang Sora near Katipunan, Commonwealth","Tandang Sora, Quezon City","15,900,000",5,260,107,https://www.lamudi.com.ph/3-storey-townhouse-for-sale-in-tandang-sora-near-katipunan-commonwealth-28.html
high ceiling 2 storey duplex house in pilar village las pinas city near sm south,"Pilar, Las Pinas","9,200,000",5,280,170,https://www.lamudi.com.ph/high-ceiling-2-storey-duplex-house-in-pilar-village-las-pinas-city-near-sm-south-4.html
"Duplex House For Sale - West Fairview, Quezon City - Rey Samaniego","Fairview, Quezon City","12,500,000",4,140,90,https://www.lamudi.com.ph/duplex-house-for-sale-west-fairview-quezon-city-rey-samaniego.html
Modern Elegant Design House and Lot For Sale in Bf Homes Paranaque,"B.F. Homes, Paranaque","20,000,000",4,370,280,https://www.lamudi.com.ph/modern-elegant-design-house-and-lot-for-sale-in-bf-homes-paranaque-110.html
Brand New Elegant House and Lot For Sale In Bf Homes Paranaque,"B.F. Homes, Paranaque","22,000,000",3,245,204,https://www.lamudi.com.ph/brand-new-elegant-house-and-lot-for-sale-in-bf-homes-paranaque-1566.html
"6.7m, Customized Single house For Sale in Greenview Exec Village QC -Keziah","Sauyo, Quezon City","6,700,000",3,100,90,https://www.lamudi.com.ph/6-7m-customized-single-house-for-sale-in-greenview-exec-village-qc-keziah.html
"12.5M Customized House and Lot for Sale in Greenview Subdivision, June Obra","Sauyo, Quezon City","12,500,000",6,150,180,https://www.lamudi.com.ph/12-5m-customized-house-and-lot-for-sale-in-greenview-subdivision-june-obra.html
"17.8M, Palatial 3 Storey Townhouse for Sale in Don Antonio Heights QC -Keziah","Holy Spirit, Quezon City","17,800,000",4,265,103,https://www.lamudi.com.ph/17-8m-palatial-3-storey-townhouse-for-sale-in-don-antonio-heights-qc-keziah.html
3BR House and Lot in Don Antonio Holy Spirit Commonwealth Quezon City For sale,"Holy Spirit, Quezon City","6,965,000",3,117,44,https://www.lamudi.com.ph/3br-house-and-lot-in-don-antonio-holy-spirit-commonwealth-quezon-city-for-sale.html
"Residential Townhouse for sale in J.P. RIZAL, Project 4,Cubao, Quezon City","Cubao, Quezon City","16,500,000",4,186,72,https://www.lamudi.com.ph/residential-townhouse-for-sale-in-j-p-rizal-project-4-cubao-quezon-city-6.html
PN52021 House For Sale Hot! Tandang Sora,"Tandang Sora, Quezon City","7,000,000",2,150,75,https://www.lamudi.com.ph/pn52021-house-for-sale-hot-tandang-sora.html
"Residential Townhouse for sale in J.P. RIZAL, Project 4,Cubao, Quezon City","Cubao, Quezon City","16,500,000",4,186,72,https://www.lamudi.com.ph/residential-townhouse-for-sale-in-j-p-rizal-project-4-cubao-quezon-city-6.html
"17.8M, Palatial 3 Storey Townhouse for Sale in Don Antonio Heights QC -Keziah","Holy Spirit, Quezon City","17,800,000",4,265,103,https://www.lamudi.com.ph/17-8m-palatial-3-storey-townhouse-for-sale-in-don-antonio-heights-qc-keziah.html
3BR House and Lot in Don Antonio Holy Spirit Commonwealth Quezon City For sale,"Holy Spirit, Quezon City","6,965,000",3,117,44,https://www.lamudi.com.ph/3br-house-and-lot-in-don-antonio-holy-spirit-commonwealth-quezon-city-for-sale.html
3 Garage Brand New 5 Bedroom House and lot Townhouse in Teachers Village Diliman,"Diliman, Quezon City","27,200,000",4,330,133,https://www.lamudi.com.ph/3-garage-brand-new-5-bedroom-house-and-lot-townhouse-in-teachers-village-diliman.html
Brand New Modern Design Single House in Sihanouk Village Las Pinas City-RD,"Talon Kuatro, Las Pinas","6,800,000",3,93,101,https://www.lamudi.com.ph/brand-new-modern-design-single-house-in-sihanouk-village-las-pinas-city-rd.html
Single Detached House and Lot for Sale in Katarungan Village Muntinlupa City,"Poblacion, Muntinlupa","16,000,000",6,210,242,https://www.lamudi.com.ph/single-detached-house-and-lot-for-sale-in-katarungan-village-muntinlupa-city-13.html
PN53606 Beautiful House For Sale Tandang Sora Exclusive Village!,"Tandang Sora, Quezon City","50,000,000",3,700,no info,https://www.lamudi.com.ph/pn53606-beautiful-house-for-sale-tandang-sora-exclusive-village.html
Fully Renovated Beautiful House and Lot For Sale in Bf Homes Paranaque City,"B.F. Homes, Paranaque","25,500,000",5,300,309,https://www.lamudi.com.ph/fully-renovated-beautiful-house-and-lot-for-sale-in-bf-homes-paranaque-city-10.html
Brand New Modern Design Single Attached House And Lot In Katarungan Muntinlupa,"Poblacion, Muntinlupa","9,350,000",4,190,127,https://www.lamudi.com.ph/brand-new-modern-design-single-attached-house-and-lot-in-katarungan-muntinlupa-972.html
Brand New 2 Storey Single Detached House In Katarungan Village In Muntinlupa,"Poblacion, Muntinlupa","9,500,000",4,184,127,https://www.lamudi.com.ph/brand-new-2-storey-single-detached-house-in-katarungan-village-in-muntinlupa-4.html
Gracious Morning Sun House and Lot For Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","31,800,000",5,350,304,https://www.lamudi.com.ph/gracious-morning-sun-house-and-lot-for-sale-in-bf-homes-paranaque-27.html
Old House and Lot in  BF Almanza Uno Village Las Pinas,"Almanza Uno, Las Pinas","15,000,000",10,600,398,https://www.lamudi.com.ph/old-house-and-lot-in-bf-almanza-uno-village-las-pinas-21.html
Modern design 2 storey single attached house and lot in pilar village las pinas,"Pilar, Las Pinas","9,800,000",5,200,140,https://www.lamudi.com.ph/modern-design-2-storey-single-attached-house-and-lot-in-pilar-village-las-pinas-47.html
Brand New Modern Design Single Attached House and Lot in Katarungan Muntinlupa,"Poblacion, Muntinlupa","9,350,000",3,181,124,https://www.lamudi.com.ph/brand-new-modern-design-single-attached-house-and-lot-in-katarungan-muntinlupa-633.html
Modern Design 2 Storey Single Attached House and Lot in Pilar Village Las Pinas,"Pilar, Las Pinas","9,800,000",5,200,140,https://www.lamudi.com.ph/modern-design-2-storey-single-attached-house-and-lot-in-pilar-village-las-pinas-81.html
"3 Storey Residential Elegant Townhouse for sale in Project 4  Cubao, Quezon City","Cubao, Quezon City","15,000,000",4,160,63,https://www.lamudi.com.ph/3-storey-residential-elegant-townhouse-for-sale-in-project-4-cubao-quezon-city.html
Affordable Townhouse for sale in Tandang Sora near Mindanao Avenue Quezon City,"Tandang Sora, Quezon City","7,400,000",3,114,46,https://www.lamudi.com.ph/affordable-townhouse-for-sale-in-tandang-sora-near-mindanao-avenue-quezon-city.html
"Airy Spacious Brand New Modern 5BR Townhouse For Sale, Tandang Sora, Quezon City","Tandang Sora, Quezon City","16,500,000",5,278,107,https://www.lamudi.com.ph/airy-spacious-brand-new-modern-5br-townhouse-for-sale-tandang-sora-quezon-city.html
perched on a highly elevated area. brand new townhouse for sale,"Katipunan, Quezon City","14,000,000",3,220,120,https://www.lamudi.com.ph/perched-on-a-highly-elevated-area-brand-new-townhouse-for-sale-1.html
Modern Nice Location Elegant House and Lot For Sale in Bf Homes Paranaque,"B.F. Homes, Paranaque","19,800,000",4,295,204,https://www.lamudi.com.ph/modern-nice-location-elegant-house-and-lot-for-sale-in-bf-homes-paranaque-116.html
"brand new house and lot 3 bedrooms for sale in bf resort, las pinas City","Talon Dos, Las Pinas","15,500,000",3,240,150,https://www.lamudi.com.ph/brand-new-house-and-lot-3-bedrooms-for-sale-in-bf-resort-las-pinas-city.html
"Big Elegant House For Sale at Dasmarinas Village, Makati","Dasmarinas, Makati","700,000,000",8,1100,1173,https://www.lamudi.com.ph/big-elegant-house-for-sale-at-dasmarinas-village-makati.html
Brand New Spacious Modern Design Duplex House in BF Resort Village Las Pinas,"Talon Dos, Las Pinas","13,700,000",4,267,159,https://www.lamudi.com.ph/brand-new-spacious-modern-design-duplex-house-in-bf-resort-village-las-pinas-155.html
Brand New For Sale 2 Storey Modern Design Triplex in Pilar Village Las Pinas,"Pilar, Las Pinas","7,900,000",4,125,80,https://www.lamudi.com.ph/brand-new-for-sale-2-storey-modern-design-triplex-in-pilar-village-las-pinas-3.html
Newly Built Modern Design Duplex House in Katarungan Muntinlupa,"Poblacion, Muntinlupa","7,800,000",3,140,77,https://www.lamudi.com.ph/newly-built-modern-design-duplex-house-in-katarungan-muntinlupa-55.html
Brand New Modern Design House and Lot in Bf Resort Village Las Pinas,"Talon Dos, Las Pinas","8,000,000",3,145,101,https://www.lamudi.com.ph/brand-new-modern-design-house-and-lot-in-bf-resort-village-las-pinas-111.html
Commonwealth 2 Storey Townhouse house 4 bedroom for sale,"Holy Spirit, Quezon City","14,192,261",4,170,112,https://www.lamudi.com.ph/commonwealth-2-storey-townhouse-house-4-bedroom-for-sale.html
4BR New Townhouse with Pool sale in Teachers Village Diliman Quezon City,"Diliman, Quezon City","28,000,000",4,380,115,https://www.lamudi.com.ph/4br-new-townhouse-with-pool-sale-in-teachers-village-diliman-quezon-city.html
"Single Attached House and Lot For Sale in Fortunata Village, Paranaque City","San Isidro, Paranaque","10,500,000",4,135,115,https://www.lamudi.com.ph/single-attached-house-and-lot-for-sale-in-fortunata-village-paranaque-city-9.html
"MSG-20-0008: Foreclosed Residential - House and Lot for Sale at Quezon City, Metro Ma...","Nagkaisang Nayon, Quezon City","7,258,000",no info,174,465,https://www.lamudi.com.ph/msg-20-0008-foreclosed-residential-house-and-lot-for-sale-at-quezon-city-metro-manila.html
"For Sale: Two Storey House in Tandang Sora, Quezon City near Banlat Road","Tandang Sora, Quezon City","8,500,000",4,220,160,https://www.lamudi.com.ph/for-sale-two-storey-house-in-tandang-sora-quezon-city-near-banlat-road.html
2 Storey Brand New Modern Design Townhouse in Las Pinas Beside Starmall,"Pamplona Tres, Las Pinas","5,500,000",3,92,70,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-in-las-pinas-beside-starmall-216.html
For Sale Peaceful 2 Storey House and Lot in Fairview w/ 3BR & 1CG PH1053,"Fairview, Quezon City","3,980,000",3,92,56,https://www.lamudi.com.ph/for-sale-peaceful-2-storey-house-and-lot-in-fairview-w-3br-1cg-ph1053-3.html
3 Storey Townhouse For Sale in Don Antonio Heights Commonwealth Quezon City,"Commonwealth, Quezon City","9,300,000",3,137,45,https://www.lamudi.com.ph/3-storey-townhouse-for-sale-in-don-antonio-heights-commonwealth-quezon-city-117.html
3 Storey Townhouse for sale in  Tandang Sora near Mindanao Avenue Quezon City,"Tandang Sora, Quezon City","7,400,000",3,117,60,https://www.lamudi.com.ph/3-storey-townhouse-for-sale-in-tandang-sora-near-mindanao-avenue-quezon-city-13.html
Brand New Modern Design Townhouse in Las Pinas near Perpetual Help,"Pamplona Tres, Las Pinas","3,450,000",3,42,40,https://www.lamudi.com.ph/brand-new-modern-design-townhouse-in-las-pinas-near-perpetual-help-149.html
